"quartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.791813202037641 0.245537437526302 0.516613476471167 0.215876038722431 0.142202783172822 0.149946428931747
"mb50" 0.730046856313839 0.242133145666622 0.319935321133914 0.197933854037212 0.130535121596029 0.146118281029578
"mb51" 0.726535023833348 0.241696206163462 0.228679293148354 0.194431345609376 0.136837782147796 0.167981954717375
"mb52" 0.85126462816157 0.257496186972079 0.747380474631893 0.234049906532731 0.114734703988669 0.11273332197428
"mb53" 0.623514551083591 0.197152820737922 0.0418177560314334 0.153325724616586 0.0787337604612301 0.143229237339796
"mb54" 0.88623974731265 0.283318294608444 0.739576306648127 0.262487246977779 0.127789446952432 0.144104605169306
"mb55" 0.70100103054878 0.232686736732658 0.103434185813362 0.185046655590856 0.108270168588994 0.17055912433536
"mb56" 0.939727367198484 0.237587060278306 0.874922682693548 0.226969999513617 0.111496104007488 0.0894901890782676
"mb57" 0.881380351262349 0.212891693186043 0.854076463142473 0.19986803095003 0.0980530784094738 0.0599978066037173
"mb58" 0.924961388933269 0.255224839316947 0.873618521642677 0.248721436165338 0.121660132713188 0.109469949361499
"mb59" 0.822028492451627 0.275001514676163 0.697729816509407 0.254257030433519 0.121171405284668 0.13417231083235
"mb60" 0.672950274851058 0.223334462230611 0 0.174374455260213 0.0704167908158792 0.180956075250211
"mb61" 0.752229723908716 0.246679107646928 0.290431358944579 0.211518097994418 0.129308792605262 0.173590340192796
"mb62" 0.98733929706213 0.264795430581687 0.979257648292642 0.263612195979918 0.13235730028755 0.121983719565124
"mb63" 0.834751817108778 0.214810607025374 0.781217395404755 0.202411096870801 0.0960649431931404 0.0622894648193584
"mb64" 0.634167758846658 0.202755745739914 0 0.159293100303075 0.0652647523011501 0.162095527195615
"mb65" 0.700472124560522 0.223251081787714 0.125103556852121 0.175795929810869 0.0997846649465035 0.160335908459602
"mb66" 0.801330913490623 0.234606017935002 0.729153196872589 0.218740073745395 0.102305338801098 0.0859300864633484
"mb67" 0.784310082128656 0.268427651907154 0.547128722321523 0.241100437770937 0.145800256336609 0.157431684165869
"mb68" 0.830793991416309 0.232968236813727 0.812486724731368 0.223814730506416 0.108364289829329 0.0839741703169006
"mb69" 0.709257792308054 0.235138726249527 0.102165660308669 0.183917681279122 0.108134822037299 0.183789094787549
"mb70" 0.818983829298632 0.273080708936107 0.489575038697491 0.241677451524273 0.15527487669521 0.181487889269656
"mb71" 0.686060203997015 0.218504227753032 0.166735109467636 0.18024720718751 0.0886429979413702 0.155254265969121
"mb72" 0.699713546110363 0.226319438535318 0.186528983276401 0.178860875204912 0.113656071602087 0.158208670515716
"mb73" 0.761631513647643 0.217329021477652 0.519625829662383 0.189834263420075 0.130110665062249 0.131861576654954
"mb74" 0.819995546648853 0.222014934829953 0.697760161649408 0.202746134101314 0.123551317513823 0.104230269573734
"mb75" 0.717012761410569 0.235232912984627 0.176453757829181 0.189804181657571 0.126964987068267 0.167933181478148
"mb76" 0.816935258900024 0.2385636040322 0.602188042833862 0.210647426550008 0.12472943646776 0.122944368728854
"mb77" 0.670798135858564 0.219737523083863 0 0.170375829646277 0.0567641563218401 0.176139370325575
"mb78" 0.731304645142383 0.252534551430756 0.627588287292431 0.228917352789711 0.109834192842077 0.105209755288385
"mb79" 0.806190084908244 0.246980736840426 0.731174493912252 0.232924344616484 0.109121866839248 0.0981647826834409
"mb80" 0.849984962406015 0.232504721156328 0.791537804489246 0.21649940253839 0.105499529183633 0.0834206178631188
"mb81" 0.756604844696473 0.250014652297363 0.336796495615112 0.218086968514148 0.131175926364074 0.168228354174643
"mb82" 0.723086703873394 0.235720711565953 0.163517610095023 0.186407774612335 0.119488847906107 0.178130811833425
"mb83" 0.908670993392972 0.221663662244218 0.915793098415642 0.217356703411761 0.106825497289607 0.0701241434813887
"mb84" 0.771706287087262 0.217564241494804 0.568236206995946 0.191677703707007 0.126339029330892 0.118976271399167
"mb85" 0.770166536559979 0.23003750760085 0.69778116685493 0.207117259184384 0.0992471868137374 0.0804741540364132
"mb86" 0.814508690383607 0.273200971881693 0.562544650773705 0.244943709096051 0.146589742578289 0.163165723047258
"mb87" 0.665150777249812 0.215975223751203 0.0624686056239414 0.171187413424158 0.0914514885094209 0.156862228731053
"mb88" 0.788086574259092 0.229775970410743 0.582118586305923 0.207201401526847 0.139007930552864 0.132532821663924
"mb89" 0.706977747170573 0.226908347421964 0.18765539436801 0.189172013108445 0.0944895262962317 0.158909115644963
