"quartet" "wQuartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.777395115989869 0.797314961058766 0.20582515733308 0.561370093503022 0.155560519295114 0.0989632764680999 0.121990533168236
"mb50" 0.772125086108394 0.770940334389684 0.215911031868102 0.501988099841801 0.160396905678076 0.0951241475077229 0.133355698104036
"mb51" 0.882352941176471 0.872187830288389 0.179711175600039 0.882174607426776 0.152945230778411 0.075223920300553 0.0537373337409171
"mb52" 0.751371142585235 0.745358972652871 0.213201371857183 0.644937921621679 0.171243384347657 0.103939706697857 0.115799009168531
"mb53" 0.796092517485899 0.853740450187151 0.220015705789864 0.666879269855495 0.172119384574098 0.108643079998385 0.123337557026001
"mb54" 0.742232924547731 0.750767201464413 0.199022933049771 0.563355571290552 0.152342559514924 0.0983545933771645 0.113940903671523
"mb55" 0.609959525759882 0.713807580306507 0.21750809817962 0.175404627626693 0.140167852517975 0.0713955428756293 0.177689994000857
"mb56" 0.761810500970818 0.791104474428031 0.194111261992711 0.614508242837217 0.151223128893256 0.0926536558309714 0.0945574267496598
"mb57" 0.738095238095238 0.780312755280663 0.221353194048834 0.737842127501846 0.179917723641797 0.0891228384464073 0.101164026107148
"mb58" 0.606713550417937 0.719029489542205 0.22654492228273 0.140007017526419 0.142924987196973 0.0698337064838345 0.188204873789553
"mb59" 0.817905688404092 0.787404611697292 0.174212275276036 0.717219696730592 0.138738998471916 0.0850675377888134 0.0724077985621287
"mb60" 0.709778203339705 0.757143584132719 0.22163314512408 0.249861696036808 0.16371896431231 0.0992442911130849 0.139350931772377
"mb61" 0.785714285714286 0.881271224450567 0.227323351692468 0.785469819799625 0.19059168199197 0.0894500830936018 0.108055716176247
"mb62" 0.845238095238095 0.895305600743667 0.231379594911377 0.84507785119341 0.193711909623988 0.0977823105217562 0.112181247927337
"mb63" 0.7041898340518 0.705662551984114 0.190146810758314 0.373944579091445 0.131946087571422 0.0859049407229321 0.130988209377245
"mb64" 0.822268717006063 0.832972436504714 0.227516967768463 0.652555682293248 0.180120129889666 0.109432084990832 0.132017508708075
"mb65" 0.759226188565369 0.760538814500765 0.187480397788177 0.645006858912082 0.145997169843008 0.0891557852108559 0.0870161247495684
"mb66" 0.765802000008782 0.765855096079672 0.202326134292204 0.528872315144578 0.149167765966837 0.103369117410366 0.127581037394444
"mb67" 0.610340235045204 0.718243279787982 0.221130373257882 0.151910098964153 0.140923890807404 0.0610296083985016 0.181947629608715
"mb68" 0.738095238095238 0.797221378682053 0.194839554294181 0.73788645069372 0.156921409158005 0.0752156567608181 0.0703986296648669
